High Forces,2024,N/A,30 Sep 2024,119 min,"Action, Crime, Drama","Oxide Chun Pang, Chi-Leung Law","Yu Bai, Sun Chan","Andy Lau, Zifeng Zhang, Chuxiao Qu","Mandarin, English","Gao Haojun, an international security expert, is hijacked by gunmen on the first flight of A380 airliner, and his blind daughter is one of the undercover hostages, a fact that he doesn't know.",https://www.youtube.com/watch?v=1KhyLlmvT48
Honeymoonish,2024,TV-14,30 Apr 2024,100 min,"Comedy, Romance",Elie Semaan,"Eiad Saleh, Ramy Ali","Nour Al Ghandour, Mahmoud Boushahri, Ascia Al Faraj",Arabic,A newly married couple realize on their honeymoon that they really are completely different. But do opposites attract?,https://www.youtube.com/watch?v=cn6Dy1-earw
Sayen: The Huntress,2024,N/A,26 Apr 2024,88 min,Action,Alexander Witt,"Diego Ayala, Loreto Caro-Valdés, Camila Jorquiera Stagno","Camilo Arancibia, Steevens Benjamin, Niav Campbell","Mapudungun, Spanish","Sayen joins a clandestine resistance group with a plan involving Valerie, who will provide needed information in exchange for her freedom. The rescue operation pushes Sayen to extremes limits, leading to a final confrontation.",https://www.youtube.com/watch?v=UOZY7TEMz5c
Taboo: Family Secrets,2024,N/A,22 Oct 2024,95 min,Thriller,Deborah Twiss,Deborah Twiss,"Costas Mandylor, Deborah Twiss, Staffan Edenholm",N/A,"The infidelities by patriarch Lukas divide the family. His Son Tyler visit sparks a taboo relationship with his stepmother Amanda, forever altering the dynamics and loyalties after certain revelations.",https://www.youtube.com/watch?v=Z8XCyQbkxU0
Dange,2024,N/A,01 Mar 2024,154 min,"Action, Drama",Bejoy Nambiar,"Neil Julian Balthazar, Mithila Hegde, Bejoy Nambiar","Harshvardhan Rane, Ehan Bhat, T.J. Bhanu",Hindi,"Journey that delves deep into the complexities of friends. Set against the backdrop of a vibrant college festival, the movie explores the intricate dynamics between two friends whose paths diverge and ignite a fierce competition.",https://www.youtube.com/watch?v=vZr-MTTewNc
Matka,2024,N/A,14 Nov 2024,156 min,"Action, Crime, Drama",Karuna Kumar,"Karuna Kumar, Kakarla Srinivasu","Varun Tej, Meenaakshi Chaudhary, Nora Fatehi",Telugu,"Rising through the ranks of the criminal world, a man becomes a key player in a massive nationwide gambling operation.",https://www.youtube.com/watch?v=G0vihIYLxow
Backrider,2024,N/A,13 Aug 2024,65 min,Drama,Bobby Bonifacio Jr.,N/A,"Jenn Rosa, Aerol Carmelo, Chad Alviar","Tagalog, Filipino","Faith is a private massage therapist. After a nasty break up with her gaming and crypto addicted boyfriend, she finds comfort in her rich, and seemingly kind client, but finds herself in a passionate and perilous situation.",https://www.youtube.com/watch?v=9AGUunJNFXE
Marco,2024,N/A,08 Nov 2024,108 min,Drama,"Aitor Arregi, Jon Garaño","Aitor Arregi, Jon Garaño, Jorge Gil Munarriz","Eduard Fernández, Nathalie Poza, Chani Martín","Spanish, Catalan, English","Exposing the lie of Enric Marco, a Spanish trade unionist who falsely claimed surviving Nazi concentration camps, serving as president of a Holocaust survivors' group.",https://www.youtube.com/watch?v=uc3mlFD-lFQ
Escape,2012,Not Rated,28 Sep 2012,78 min,"Adventure, Drama, Thriller",Roar Uthaug,"Thomas Moldestad, Martin Sundland, Roar Uthaug","Isabel Christine Andreasen, Ingrid Bolsø Berdal, Milla Olin",Norwegian,"Signe, spared from death to produce a child, befriends a little girl, Frigg, and escapes from the camp.",https://www.youtube.com/watch?v=8VKqGrmx_t4
The Last Stop in Yuma County,2023,R,10 May 2024,90 min,"Crime, Drama, Thriller",Francis Galluppi,Francis Galluppi,"Jim Cummings, Faizon Love, Jocelin Donahue",English,"While stranded at a rural Arizona rest stop, a traveling salesman is thrust into a dire hostage situation by the arrival of two bank robbers with no qualms about using cruelty-or cold, hard steel-to protect their bloodstained fort...",https://www.youtube.com/watch?v=kd9mMDnpqGc
